"measure","description"
"meas.ai_score_kpi1","Returns the AI model score configured for KPI 1 in heatmap metadata."
"meas.ai_score_kpi2","Returns the AI model score configured for KPI 2 in heatmap metadata."
"meas.calc_hyp1_kpi1_denominator","Helper measure that calculates the denominator component used in Hypothesis 1 KPI 1 scoring."
"meas.calc_hyp1_kpi1_nominator","Helper measure that calculates the numerator component used in Hypothesis 1 KPI 1 scoring."
"meas.calc_hyp1_kpi2_denominator","Helper measure that calculates the denominator component used in Hypothesis 1 KPI 2 scoring."
"meas.calc_hyp1_kpi2_nominator","Helper measure that calculates the numerator component used in Hypothesis 1 KPI 2 scoring."
"meas.calc_hyp10_kpi1_denominator","Helper measure that calculates the denominator component used in Hypothesis 10 KPI 1 scoring."
"meas.calc_hyp10_kpi1_nominator","Helper measure that calculates the numerator component used in Hypothesis 10 KPI 1 scoring."
"meas.calc_hyp10_kpi2_denominator","Helper measure that calculates the denominator component used in Hypothesis 10 KPI 2 scoring."
"meas.calc_hyp10_kpi2_nominator","Helper measure that calculates the numerator component used in Hypothesis 10 KPI 2 scoring."
"meas.calc_hyp11_kpi1_denominator","Helper measure that calculates the denominator component used in Hypothesis 11 KPI 1 scoring."
"meas.calc_hyp11_kpi1_nominator","Helper measure that calculates the numerator component used in Hypothesis 11 KPI 1 scoring."
"meas.calc_hyp11_kpi2_denominator","Helper measure that calculates the denominator component used in Hypothesis 11 KPI 2 scoring."
"meas.calc_hyp11_kpi2_nominator","Helper measure that calculates the numerator component used in Hypothesis 11 KPI 2 scoring."
"meas.calc_hyp12_kpi1_denominator","Helper measure that calculates the denominator component used in Hypothesis 12 KPI 1 scoring."
"meas.calc_hyp12_kpi1_nominator","Helper measure that calculates the numerator component used in Hypothesis 12 KPI 1 scoring."
"meas.calc_hyp12_kpi2_denominator","Helper measure that calculates the denominator component used in Hypothesis 12 KPI 2 scoring."
"meas.calc_hyp12_kpi2_nominator","Helper measure that calculates the numerator component used in Hypothesis 12 KPI 2 scoring."
"meas.calc_hyp13_kpi1_denominator","Helper measure that calculates the denominator component used in Hypothesis 13 KPI 1 scoring."
"meas.calc_hyp13_kpi1_nominator","Helper measure that calculates the numerator component used in Hypothesis 13 KPI 1 scoring."
"meas.calc_hyp13_kpi2_denominator","Helper measure that calculates the denominator component used in Hypothesis 13 KPI 2 scoring."
"meas.calc_hyp13_kpi2_nominator","Helper measure that calculates the numerator component used in Hypothesis 13 KPI 2 scoring."
"meas.calc_hyp14_kpi1_denominator","Helper measure that calculates the denominator component used in Hypothesis 14 KPI 1 scoring."
"meas.calc_hyp14_kpi1_nominator","Helper measure that calculates the numerator component used in Hypothesis 14 KPI 1 scoring."
"meas.calc_hyp14_kpi2_denominator","Helper measure that calculates the denominator component used in Hypothesis 14 KPI 2 scoring."
"meas.calc_hyp14_kpi2_nominator","Helper measure that calculates the numerator component used in Hypothesis 14 KPI 2 scoring."
"meas.calc_hyp15_kpi1_denominator","Helper measure that calculates the denominator component used in Hypothesis 15 KPI 1 scoring."
"meas.calc_hyp15_kpi1_nominator","Helper measure that calculates the numerator component used in Hypothesis 15 KPI 1 scoring."
"meas.calc_hyp15_kpi2_denominator","Helper measure that calculates the denominator component used in Hypothesis 15 KPI 2 scoring."
"meas.calc_hyp15_kpi2_nominator","Helper measure that calculates the numerator component used in Hypothesis 15 KPI 2 scoring."
"meas.calc_hyp16_kpi1_denominator","Helper measure that calculates the denominator component used in Hypothesis 16 KPI 1 scoring."
"meas.calc_hyp16_kpi1_nominator","Helper measure that calculates the numerator component used in Hypothesis 16 KPI 1 scoring."
"meas.calc_hyp16_kpi2_denominator","Helper measure that calculates the denominator component used in Hypothesis 16 KPI 2 scoring."
"meas.calc_hyp16_kpi2_nominator","Helper measure that calculates the numerator component used in Hypothesis 16 KPI 2 scoring."
"meas.calc_hyp17_kpi1_denominator","Helper measure that calculates the denominator component used in Hypothesis 17 KPI 1 scoring."
"meas.calc_hyp17_kpi1_nominator","Helper measure that calculates the numerator component used in Hypothesis 17 KPI 1 scoring."
"meas.calc_hyp18_kpi1_denominator","Helper measure that calculates the denominator component used in Hypothesis 18 KPI 1 scoring."
"meas.calc_hyp18_kpi1_nominator","Helper measure that calculates the numerator component used in Hypothesis 18 KPI 1 scoring."
"meas.calc_hyp2_kpi1_denominator","Helper measure that calculates the denominator component used in Hypothesis 2 KPI 1 scoring."
"meas.calc_hyp2_kpi1_nominator","Helper measure that calculates the numerator component used in Hypothesis 2 KPI 1 scoring."
"meas.calc_hyp2_kpi2_denominator","Helper measure that calculates the denominator component used in Hypothesis 2 KPI 2 scoring."
"meas.calc_hyp2_kpi2_nominator","Helper measure that calculates the numerator component used in Hypothesis 2 KPI 2 scoring."
"meas.calc_hyp3_kpi1_denominator","Helper measure that calculates the denominator component used in Hypothesis 3 KPI 1 scoring."
"meas.calc_hyp3_kpi1_nominator","Helper measure that calculates the numerator component used in Hypothesis 3 KPI 1 scoring."
"meas.calc_hyp3_kpi2_denominator","Helper measure that calculates the denominator component used in Hypothesis 3 KPI 2 scoring."
"meas.calc_hyp3_kpi2_nominator","Helper measure that calculates the numerator component used in Hypothesis 3 KPI 2 scoring."
"meas.calc_hyp4_kpi1_denominator","Helper measure that calculates the denominator component used in Hypothesis 4 KPI 1 scoring."
"meas.calc_hyp4_kpi1_nominator","Helper measure that calculates the numerator component used in Hypothesis 4 KPI 1 scoring."
"meas.calc_hyp4_kpi2_denominator","Helper measure that calculates the denominator component used in Hypothesis 4 KPI 2 scoring."
"meas.calc_hyp4_kpi2_nominator","Helper measure that calculates the numerator component used in Hypothesis 4 KPI 2 scoring."
"meas.calc_hyp5_kpi1_denominator","Helper measure that calculates the denominator component used in Hypothesis 5 KPI 1 scoring."
"meas.calc_hyp5_kpi1_nominator","Helper measure that calculates the numerator component used in Hypothesis 5 KPI 1 scoring."
"meas.calc_hyp5_kpi2_denominator","Helper measure that calculates the denominator component used in Hypothesis 5 KPI 2 scoring."
"meas.calc_hyp5_kpi2_nominator","Helper measure that calculates the numerator component used in Hypothesis 5 KPI 2 scoring."
"meas.calc_hyp6_kpi1_denominator","Helper measure that calculates the denominator component used in Hypothesis 6 KPI 1 scoring."
"meas.calc_hyp6_kpi1_nominator","Helper measure that calculates the numerator component used in Hypothesis 6 KPI 1 scoring."
"meas.calc_hyp6_kpi2_denominator","Helper measure that calculates the denominator component used in Hypothesis 6 KPI 2 scoring."
"meas.calc_hyp6_kpi2_nominator","Helper measure that calculates the numerator component used in Hypothesis 6 KPI 2 scoring."
"meas.calc_hyp7_kpi1_denominator","Helper measure that calculates the denominator component used in Hypothesis 7 KPI 1 scoring."
"meas.calc_hyp7_kpi1_nominator","Helper measure that calculates the numerator component used in Hypothesis 7 KPI 1 scoring."
"meas.calc_hyp7_kpi2_denominator","Helper measure that calculates the denominator component used in Hypothesis 7 KPI 2 scoring."
"meas.calc_hyp7_kpi2_nominator","Helper measure that calculates the numerator component used in Hypothesis 7 KPI 2 scoring."
"meas.calc_hyp8_kpi1_denominator","Helper measure that calculates the denominator component used in Hypothesis 8 KPI 1 scoring."
"meas.calc_hyp8_kpi1_nominator","Helper measure that calculates the numerator component used in Hypothesis 8 KPI 1 scoring."
"meas.calc_hyp8_kpi2_denominator","Helper measure that calculates the denominator component used in Hypothesis 8 KPI 2 scoring."
"meas.calc_hyp8_kpi2_nominator","Helper measure that calculates the numerator component used in Hypothesis 8 KPI 2 scoring."
"meas.calc_hyp9_kpi1_denominator","Helper measure that calculates the denominator component used in Hypothesis 9 KPI 1 scoring."
"meas.calc_hyp9_kpi1_nominator","Helper measure that calculates the numerator component used in Hypothesis 9 KPI 1 scoring."
"meas.calc_hyp9_kpi2_denominator","Helper measure that calculates the denominator component used in Hypothesis 9 KPI 2 scoring."
"meas.calc_hyp9_kpi2_nominator","Helper measure that calculates the numerator component used in Hypothesis 9 KPI 2 scoring."
"meas.check_kpi1_kpi2_weight","Validates KPI weight configuration by checking that KPI 1 and KPI 2 weights sum to 1.00."
"meas.getHeatmapConditionalColor","Helper measure that returns conditional color values used by heatmap visuals."
"meas.getHeatmapConditionalColor_new","Helper measure that returns conditional color values used by heatmap visuals."
"meas.getHeatmapKPI_AIScore","Returns the AI score associated with the currently selected heatmap KPI."
"meas.getHeatmapKPI1_formula_used","Returns the scoring formula label used for KPI 1 in heatmap metadata."
