"measure","description"
"meas.ssr_history_success_count","Calculates the number of success count for successful records."
"meas.ssr_history_success_rate","Calculates the number of success rate."
"meas.ssr_history_rev_churned_count","Calculates the number of revenue churned count."
"meas.ssr_history_rev_churned_amt","Calculates the number of revenue churned amount."
"meas.ssr_history_rev_new_count","Calculates the number of revenue new count."
"meas.ssr_history_rev_retained_amt","Calculates the number of revenue retained amount."
"meas.ssr_history_rev_retained_count","Calculates the number of revenue retained count."
"meas.ssr_history_rev_new_amt","Calculates the number of revenue new amount."
"meas.ssr_history_rev_ending_count","Calculates the number of revenue ending count."
"meas.ssr_history_rev_starting_amount","Calculates the number of revenue starting amount."
"meas.ssr_history_touched_accounts","Calculates the number of touched accounts where step is Prospecting."
"meas.ssr_history_acct_count_untouched","Calculates the number of accounts in Untouched where step is Untouched."
"meas.ssr_history_rev_churned_avg_age_months","Calculates the number of revenue churned average age months."
"meas.ssr_history_rev_cagr","Summarizes revenue cagr."
"meas.ssr_history_rev_period_growth_rate","Summarizes revenue period growth rate."
"meas.ssr_history_rev_retained_avg_acct_amt","Returns revenue retained average account amount."
"meas.ssr_history_rev_retained_avg_acct_age","Calculates the number of revenue retained average account age."
"meas.ssr_history_rev_new_growth_rate","Returns revenue new growth rate."
"meas.ssr_history_rev_churned_rate","Returns revenue churned rate."
"meas.ssr_history_rev_acct_ltv","Returns revenue account ltv."
"meas.ssr_history_rev_starting_count","Calculates the number of revenue starting count."
"meas.ssr_history_duration_hrs_post_sales","Summarizes duration hours post sales where step is Post-Sales Support."
"meas.ssr_history_duration_hrs_per_acct_prospecting","Average duration hours per touched account."
"meas.ssr_history_success_prob_avg","Returns the average success probability average."
"meas.ssr_history_success_prob_avg_prospecting","Returns the average success probability average prospecting where step is Prospecting."
"meas.ssr_history_touched_accounts_rate","Calculates touched accounts rate in the current reporting context."
"meas.ssr_history_success_count_prospecting","Calculates the number of success count prospecting where step is Prospecting, successful records."
"meas.ssr_history_success_rate_prospecting","Calculates success rate prospecting in the current reporting context."
"meas.ssr_history_acct_count_prospecting","Calculates the number of accounts in the Prospecting step within the current reporting context."
"meas.ssr_history_acct_count_new_logo","Calculates the number of accounts in New Logo Selling where step is New Logo Selling."
"meas.ssr_history_acct_count_post_sales","Calculates the number of accounts in Post-Sales Support where step is Post-Sales Support."
"meas.ssr_history_acct_count_existing_customer_selling","Calculates the number of accounts in Existing Customer Selling where step is Existing Customer Selling."
"meas.ssr_history_duration_hrs_new_logo","Summarizes duration hours new logo where step is New Logo Selling."
"meas.ssr_history_duration_hrs_existing_customer_selling","Calculates duration hours existing customer selling in the current reporting context."
"meas.ssr_history_duration_hrs_per_acct_new_logo","Average duration hours per touched account."
"meas.ssr_history_duration_hrs_per_acct_post_sales","Calculates duration hours per account post sales in the current reporting context."
"meas.ssr_history_duration_hrs_per_acct_existing_customer_selling","Calculates duration hours per account existing customer selling in the current reporting context."
