"measure","current_purpose","expression_sample","replacement_description"
"meas.ai_score_kpi1","Returns a value derived from metadata_heatmap_items[heatmap_kpi1_ai_score_name].","VAR _name   = MAX(metadata_heatmap_items[heatmap_kpi1_ai_score_name])","Calculates ai score kpi1 within the current reporting context."
"meas.ai_score_kpi2","Returns a value derived from metadata_heatmap_items[heatmap_kpi2_ai_score_name].","VAR _name   = MAX(metadata_heatmap_items[heatmap_kpi2_ai_score_name])","Calculates ai score kpi2 within the current reporting context."
"meas.calc_hyp1_kpi1_denominator","Returns a value derived from ssr_history[step_name].","VAR _total_acct_count = CALCULATE(","Calculates calc hyp1 kpi1 denominator within the current reporting context."
"meas.calc_hyp1_kpi1_nominator","Returns a value derived from quality_buckets[bucket] and ssr_history[step_name].","VAR _tot_bkt_count = CALCULATE(","Calculates calc hyp1 kpi1 nominator within the current reporting context."
"meas.calc_hyp1_kpi2_denominator","Returns a value derived from quality_buckets[bucket].","VAR _low_time_count = CALCULATE(","Calculates calc hyp1 kpi2 denominator within the current reporting context."
"meas.calc_hyp1_kpi2_nominator","Returns a value derived from quality_buckets[bucket].","VAR _high_time_count = CALCULATE(","Calculates calc hyp1 kpi2 nominator within the current reporting context."
"meas.calc_hyp10_kpi1_denominator","Returns a value derived from cal_end_dates[Date] and ssr_history[step_name].","var current_year = CALCULATE(YEAR([meas.context_date_max]))            // get the current year","Calculates calc hyp10 kpi1 denominator within the current reporting context."
"meas.calc_hyp10_kpi1_nominator","Returns a value derived from cal_end_dates[Date] and ssr_history[step_name].","var current_year = CALCULATE(YEAR([meas.context_date_max]))            // get the current year","Calculates calc hyp10 kpi1 nominator within the current reporting context."
"meas.calc_hyp10_kpi2_denominator","Returns the measure value from its DAX expression.","1","Calculates calc hyp10 kpi2 denominator within the current reporting context."
"meas.calc_hyp10_kpi2_nominator","Returns a value derived from ssr_history[step_success_prob] and ssr_history[opp_sale_type].","var res =  CALCULATE(","Calculates calc hyp10 kpi2 nominator within the current reporting context."
"meas.calc_hyp11_kpi1_denominator","Returns the measure value from its DAX expression.","CALCULATE(","Calculates calc hyp11 kpi1 denominator within the current reporting context."
"meas.calc_hyp11_kpi1_nominator","Returns the measure value from its DAX expression.","CALCULATE(","Calculates calc hyp11 kpi1 nominator within the current reporting context."
"meas.calc_hyp11_kpi2_denominator","Returns a value derived from ssr_history[stkhlds_all_adj_dur] and ssr_history[step_name].","var dur = calculate(","Calculates calc hyp11 kpi2 denominator within the current reporting context."
"meas.calc_hyp11_kpi2_nominator","Returns a value derived from ssr_history[stkhlds_all_adj_dur] and ssr_history[step_name].","var dur = calculate(","Calculates calc hyp11 kpi2 nominator within the current reporting context."
"meas.calc_hyp12_kpi1_denominator","Returns a value derived from ssr_history[step_name].","CALCULATE(","Calculates calc hyp12 kpi1 denominator within the current reporting context."
"meas.calc_hyp12_kpi1_nominator","Returns a value derived from ssr[_sys_doc_id] and ssr[trueai_churned_on].","CALCULATE(","Calculates calc hyp12 kpi1 nominator within the current reporting context."
"meas.calc_hyp12_kpi2_denominator","Returns a value derived from ssr[_sys_doc_id] and ssr[trueai_churned_on].","var _max_date = [meas.context_date_max]","Calculates calc hyp12 kpi2 denominator within the current reporting context."
"meas.calc_hyp12_kpi2_nominator","Returns a value derived from ssr[_sys_doc_id] and ssr[trueai_churned_on].","var _max_date = [meas.context_date_max]","Calculates calc hyp12 kpi2 nominator within the current reporting context."
"meas.calc_hyp13_kpi1_denominator","Returns the measure value from its DAX expression.","var _churn_accts = CALCULATE(","Calculates calc hyp13 kpi1 denominator within the current reporting context."
"meas.calc_hyp13_kpi1_nominator","Returns a value derived from ssr_history[step_name].","CALCULATE(","Calculates calc hyp13 kpi1 nominator within the current reporting context."
"meas.calc_hyp13_kpi2_denominator","Returns the measure value from its DAX expression.","var churned_amt = CALCULATE(","Calculates calc hyp13 kpi2 denominator within the current reporting context."
"meas.calc_hyp13_kpi2_nominator","Returns the measure value from its DAX expression.","CALCULATE(","Calculates calc hyp13 kpi2 nominator within the current reporting context."
