"measure","inbound_measure_refs","dependent_measures","report_refs","visual_refs"
"meas.ai_score_kpi1","0","","0","0"
"meas.ai_score_kpi2","0","","0","0"
"meas.calc_hyp1_kpi1_denominator","2","meas.KPI 1Denominator; meas.KPI 1Denominator_Value","0","0"
"meas.calc_hyp1_kpi1_denominator_count","1","meas.heatmap_kpi1_record_count","0","0"
"meas.calc_hyp1_kpi1_nominator","2","meas.KPI 1Nominator; meas.KPI 1Nominator_Value","0","0"
"meas.calc_hyp1_kpi2_denominator","2","meas.KPI 2Denominator; meas.KPI 2Denominator_Value","0","0"
"meas.calc_hyp1_kpi2_denominator_count","1","meas.heatmap_kpi2_record_count","0","0"
"meas.calc_hyp1_kpi2_nominator","2","meas.KPI 2Nominator; meas.KPI 2Nominator_Value","0","0"
"meas.calc_hyp10_kpi1_denominator","2","meas.KPI 1Denominator; meas.KPI 1Denominator_Value","0","0"
"meas.calc_hyp10_kpi1_denominator_count","1","meas.heatmap_kpi1_record_count","0","0"
"meas.calc_hyp10_kpi1_nominator","2","meas.KPI 1Nominator; meas.KPI 1Nominator_Value","0","0"
"meas.calc_hyp10_kpi2_denominator","2","meas.KPI 2Denominator; meas.KPI 2Denominator_Value","0","0"
"meas.calc_hyp10_kpi2_nominator","2","meas.KPI 2Nominator; meas.KPI 2Nominator_Value","0","0"
"meas.calc_hyp10_kpi2_nominator_count","1","meas.heatmap_kpi2_record_count","0","0"
"meas.calc_hyp11_kpi1_denominator","2","meas.KPI 1Denominator; meas.KPI 1Denominator_Value","0","0"
"meas.calc_hyp11_kpi1_nominator","2","meas.KPI 1Nominator; meas.KPI 1Nominator_Value","0","0"
"meas.calc_hyp11_kpi1_nominator_count","1","meas.heatmap_kpi1_record_count","0","0"
"meas.calc_hyp11_kpi2_denominator","2","meas.KPI 2Denominator; meas.KPI 2Denominator_Value","0","0"
"meas.calc_hyp11_kpi2_nominator","2","meas.KPI 2Nominator; meas.KPI 2Nominator_Value","0","0"
"meas.calc_hyp11_kpi2_nominator_count","1","meas.heatmap_kpi2_record_count","0","0"
"meas.calc_hyp12_kpi1_denominator","2","meas.KPI 1Denominator; meas.KPI 1Denominator_Value","0","0"
"meas.calc_hyp12_kpi1_denominator_count","1","meas.heatmap_kpi1_record_count","0","0"
"meas.calc_hyp12_kpi1_nominator","2","meas.KPI 1Nominator; meas.KPI 1Nominator_Value","0","0"
"meas.calc_hyp12_kpi2_denominator","2","meas.KPI 2Denominator; meas.KPI 2Denominator_Value","0","0"
"meas.calc_hyp12_kpi2_denominator_count","1","meas.heatmap_kpi2_record_count","0","0"
"meas.calc_hyp12_kpi2_nominator","2","meas.KPI 2Nominator; meas.KPI 2Nominator_Value","0","0"
"meas.calc_hyp13_kpi1_denominator","2","meas.KPI 1Denominator; meas.KPI 1Denominator_Value","0","0"
"meas.calc_hyp13_kpi1_nominator","2","meas.KPI 1Nominator; meas.KPI 1Nominator_Value","0","0"
"meas.calc_hyp13_kpi1_nominator_count","1","meas.heatmap_kpi1_record_count","0","0"
"meas.calc_hyp13_kpi2_denominator","2","meas.KPI 2Denominator; meas.KPI 2Denominator_Value","0","0"
"meas.calc_hyp13_kpi2_nominator","2","meas.KPI 2Nominator; meas.KPI 2Nominator_Value","0","0"
"meas.calc_hyp13_kpi2_nominator_count","1","meas.heatmap_kpi2_record_count","0","0"
"meas.calc_hyp14_kpi1_denominator","2","meas.KPI 1Denominator; meas.KPI 1Denominator_Value","0","0"
"meas.calc_hyp14_kpi1_nominator","2","meas.KPI 1Nominator; meas.KPI 1Nominator_Value","0","0"
"meas.calc_hyp14_kpi1_nominator_count","1","meas.heatmap_kpi1_record_count","0","0"
"meas.calc_hyp14_kpi2_denominator","2","meas.KPI 2Denominator; meas.KPI 2Denominator_Value","0","0"
"meas.calc_hyp14_kpi2_nominator","2","meas.KPI 2Nominator; meas.KPI 2Nominator_Value","0","0"
"meas.calc_hyp15_kpi1_denominator","2","meas.KPI 1Denominator; meas.KPI 1Denominator_Value","0","0"
"meas.calc_hyp15_kpi1_denominator_count","1","meas.heatmap_kpi1_record_count","0","0"
"meas.calc_hyp15_kpi1_nominator","2","meas.KPI 1Nominator; meas.KPI 1Nominator_Value","0","0"
"meas.calc_hyp15_kpi2_denominator","2","meas.KPI 2Denominator; meas.KPI 2Denominator_Value","0","0"
"meas.calc_hyp15_kpi2_nominator","2","meas.KPI 2Nominator; meas.KPI 2Nominator_Value","0","0"
"meas.calc_hyp16_kpi1_denominator","3","meas.calc_hyp16_kpi1_denominator_count; meas.KPI 1Denominator; meas.KPI 1Denominator_Value","0","0"
"meas.calc_hyp16_kpi1_denominator_count","1","meas.heatmap_kpi1_record_count","0","0"
"meas.calc_hyp16_kpi1_nominator","3","meas.calc_hyp16_kpi1_denominator_count; meas.KPI 1Nominator; meas.KPI 1Nominator_Value","0","0"
"meas.calc_hyp16_kpi2_denominator","3","meas.calc_hyp16_kpi2_denominator_count; meas.KPI 2Denominator; meas.KPI 2Denominator_Value","0","0"
"meas.calc_hyp16_kpi2_denominator_count","1","meas.heatmap_kpi2_record_count","0","0"
"meas.calc_hyp16_kpi2_nominator","4","meas.calc_hyp16_kpi2_denominator; meas.calc_hyp16_kpi2_denominator_count; meas.KPI 2Nominator; meas.KPI 2Nominator_Value","0","0"
"meas.calc_hyp17_kpi1_denominator","2","meas.KPI 1Denominator; meas.KPI 1Denominator_Value","0","0"
"meas.calc_hyp17_kpi1_denominator_count","1","meas.heatmap_kpi1_record_count","0","0"
"meas.calc_hyp17_kpi1_nominator","2","meas.KPI 1Nominator; meas.KPI 1Nominator_Value","0","0"
"meas.calc_hyp18_kpi1_denominator","2","meas.KPI 1Denominator; meas.KPI 1Denominator_Value","0","0"
"meas.calc_hyp18_kpi1_nominator","2","meas.KPI 1Nominator; meas.KPI 1Nominator_Value","0","0"
"meas.calc_hyp18_kpi1_nominator_count","1","meas.heatmap_kpi1_record_count","0","0"
"meas.calc_hyp2_kpi1_denominator","2","meas.KPI 1Denominator; meas.KPI 1Denominator_Value","0","0"
"meas.calc_hyp2_kpi1_nominator","2","meas.KPI 1Nominator; meas.KPI 1Nominator_Value","0","0"
"meas.calc_hyp2_kpi1_nominator_count","1","meas.heatmap_kpi1_record_count","0","0"
"meas.calc_hyp2_kpi2_denominator","2","meas.KPI 2Denominator; meas.KPI 2Denominator_Value","0","0"
"meas.calc_hyp2_kpi2_nominator","2","meas.KPI 2Nominator; meas.KPI 2Nominator_Value","0","0"
"meas.calc_hyp2_kpi2_nominator_count","0","","0","0"
"meas.calc_hyp3_kpi1_denominator","2","meas.KPI 1Denominator; meas.KPI 1Denominator_Value","0","0"
"meas.calc_hyp3_kpi1_nominator","2","meas.KPI 1Nominator; meas.KPI 1Nominator_Value","0","0"
"meas.calc_hyp3_kpi1_nominator_count","1","meas.heatmap_kpi1_record_count","0","0"
"meas.calc_hyp3_kpi2_denominator","2","meas.KPI 2Denominator; meas.KPI 2Denominator_Value","0","0"
"meas.calc_hyp3_kpi2_nominator","2","meas.KPI 2Nominator; meas.KPI 2Nominator_Value","0","0"
"meas.calc_hyp4_kpi1_denominator","2","meas.KPI 1Denominator; meas.KPI 1Denominator_Value","0","0"
"meas.calc_hyp4_kpi1_nominator","2","meas.KPI 1Nominator; meas.KPI 1Nominator_Value","0","0"
"meas.calc_hyp4_kpi1_nominator_count","1","meas.heatmap_kpi1_record_count","0","0"
"meas.calc_hyp4_kpi2_denominator","2","meas.KPI 2Denominator; meas.KPI 2Denominator_Value","0","0"
"meas.calc_hyp4_kpi2_nominator","2","meas.KPI 2Nominator; meas.KPI 2Nominator_Value","0","0"
"meas.calc_hyp5_kpi1_denominator","2","meas.KPI 1Denominator; meas.KPI 1Denominator_Value","0","0"
"meas.calc_hyp5_kpi1_nominator","2","meas.KPI 1Nominator; meas.KPI 1Nominator_Value","0","0"
"meas.calc_hyp5_kpi1_nominator_count","1","meas.heatmap_kpi1_record_count","0","0"
"meas.calc_hyp5_kpi2_denominator","2","meas.KPI 2Denominator; meas.KPI 2Denominator_Value","0","0"
"meas.calc_hyp5_kpi2_nominator","2","meas.KPI 2Nominator; meas.KPI 2Nominator_Value","0","0"
"meas.calc_hyp6_kpi1_denominator","2","meas.KPI 1Denominator; meas.KPI 1Denominator_Value","0","0"
"meas.calc_hyp6_kpi1_denominator_count","1","meas.heatmap_kpi1_record_count","0","0"
"meas.calc_hyp6_kpi1_nominator","2","meas.KPI 1Nominator; meas.KPI 1Nominator_Value","0","0"
"meas.calc_hyp6_kpi2_denominator","2","meas.KPI 2Denominator; meas.KPI 2Denominator_Value","0","0"
"meas.calc_hyp6_kpi2_denominator_count","1","meas.heatmap_kpi2_record_count","0","0"
"meas.calc_hyp6_kpi2_nominator","2","meas.KPI 2Nominator; meas.KPI 2Nominator_Value","0","0"
"meas.calc_hyp7_kpi1_denominator","2","meas.KPI 1Denominator; meas.KPI 1Denominator_Value","0","0"
"meas.calc_hyp7_kpi1_denominator_count","1","meas.heatmap_kpi1_record_count","0","0"
"meas.calc_hyp7_kpi1_nominator","2","meas.KPI 1Nominator; meas.KPI 1Nominator_Value","0","0"
"meas.calc_hyp7_kpi2_denominator","2","meas.KPI 2Denominator; meas.KPI 2Denominator_Value","0","0"
"meas.calc_hyp7_kpi2_nominator","2","meas.KPI 2Nominator; meas.KPI 2Nominator_Value","0","0"
"meas.calc_hyp8_kpi1_denominator","2","meas.KPI 1Denominator; meas.KPI 1Denominator_Value","0","0"
"meas.calc_hyp8_kpi1_denominator_count","1","meas.heatmap_kpi1_record_count","0","0"
"meas.calc_hyp8_kpi1_nominator","2","meas.KPI 1Nominator; meas.KPI 1Nominator_Value","0","0"
"meas.calc_hyp8_kpi2_denominator","2","meas.KPI 2Denominator; meas.KPI 2Denominator_Value","0","0"
"meas.calc_hyp8_kpi2_nominator","2","meas.KPI 2Nominator; meas.KPI 2Nominator_Value","0","0"
"meas.calc_hyp8_kpi2_nominator_count","1","meas.heatmap_kpi2_record_count","0","0"
"meas.calc_hyp9_kpi1_denominator","2","meas.KPI 1Denominator; meas.KPI 1Denominator_Value","0","0"
"meas.calc_hyp9_kpi1_denominator_count","1","meas.heatmap_kpi1_record_count","0","0"
"meas.calc_hyp9_kpi1_nominator","2","meas.KPI 1Nominator; meas.KPI 1Nominator_Value","0","0"
"meas.calc_hyp9_kpi2_denominator","2","meas.KPI 2Denominator; meas.KPI 2Denominator_Value","0","0"
"meas.calc_hyp9_kpi2_nominator","2","meas.KPI 2Nominator; meas.KPI 2Nominator_Value","0","0"
"meas.calc_hyp9_kpi2_nominator_count","1","meas.heatmap_kpi2_record_count","0","0"
"meas.check_kpi1_kpi2_weight","0","","0","0"
"meas.combined_score_concatenated","0","","0","0"
"meas.combined_score_top","0","","0","0"
"meas.combined_score_top_w_text","0","","0","0"
"meas.get_category_base64","0","","0","0"
"meas.get_growth_category","1","meas.get_category_base64","0","0"
"meas.getHeatmapConditionalColor","0","","0","0"
"meas.getHeatmapConditionalColor_new","0","","0","0"
"meas.getHeatmapKPI_AIScore","7","meas.getHeatmapConditionalColor; meas.getHeatmapConditionalColor_new; meas.getHeatmapScore; meas.heatmap_details_ai_model_score_validation; meas.heatmap_details_score_new; meas.heatmap_details_score_w_na_nd; meas.hypothesis_is_confirmed_details","0","0"
"meas.getHeatmapKPI1_formula_used","0","","0","0"
