"measure","inbound_measure_refs","dependent_measures","report_refs","visual_refs","bracket_refs_in_model"
"meas.ai_score_kpi1","0","","0","0","0"
"meas.ai_score_kpi2","0","","0","0","0"
"meas.calc_hyp2_kpi2_nominator_count","0","","0","0","0"
"meas.check_kpi1_kpi2_weight","0","","0","0","0"
"meas.combined_score_concatenated","0","","0","0","0"
"meas.combined_score_top","0","","0","0","0"
"meas.combined_score_top_w_text","0","","0","0","0"
"meas.get_category_base64","0","","0","0","0"
"meas.getHeatmapConditionalColor","0","","0","0","0"
"meas.getHeatmapConditionalColor_new","0","","0","0","0"
"meas.getHeatmapKPI1_formula_used","0","","0","0","0"
"meas.getHeatmapKPI2_formula_used","0","","0","0","0"
"meas.getKP2_Score_chng","0","","0","0","0"
"meas.heatmap_booking_growth_rate","0","","0","0","0"
"meas.heatmap_details_ai_model_score_validation","0","","0","0","0"
"meas.heatmap_details_description","0","","0","0","0"
"meas.heatmap_details_growth_category_base64","0","","0","0","0"
"meas.heatmap_details_growth_category_hypo_name","0","","0","0","0"
"meas.heatmap_details_hypothesis_confirmed","0","","0","0","0"
"meas.heatmap_details_hypothesis_id","0","","0","0","0"
"meas.heatmap_details_KPI 1_denominator_value","0","","0","0","0"
"meas.heatmap_details_KPI 1_nominator_value","0","","0","0","0"
"meas.heatmap_details_KPI 1_Score_value","0","","0","0","0"
"meas.heatmap_details_KPI 1_value","0","","0","0","0"
"meas.heatmap_details_KPI 2_denominator_value","0","","0","0","0"
"meas.heatmap_details_KPI 2_nominator_value","0","","0","0","0"
"meas.heatmap_details_KPI 2_Score_value","0","","0","0","0"
"meas.heatmap_details_KPI 2_value","0","","0","0","0"
"meas.heatmap_details_kpi_report_location","0","","0","0","0"
"meas.heatmap_details_kpi_screen","0","","0","0","0"
"meas.heatmap_details_kpi1_ai_score_name","0","","0","0","0"
"meas.heatmap_details_kpi1_calculation","0","","0","0","0"
"meas.heatmap_details_kpi1_def_short","0","","0","0","0"
"meas.heatmap_details_kpi1_long_def","0","","0","0","0"
"meas.heatmap_details_kpi1_max_value","0","","0","0","0"
"meas.heatmap_details_kpi1_min_value","0","","0","0","0"
"meas.heatmap_details_kpi1_reference_value","0","","0","0","0"
"meas.heatmap_details_kpi1_score_calculation","0","","0","0","0"
"meas.heatmap_details_kpi1_score_trend_calculation","0","","0","0","0"
"meas.heatmap_details_kpi1_standard_dev_value","0","","0","0","0"
"meas.heatmap_details_kpi1_value_trend","0","","0","0","0"
"meas.heatmap_details_kpi2_ai_score_name","0","","0","0","0"
"meas.heatmap_details_kpi2_calculation","0","","0","0","0"
"meas.heatmap_details_kpi2_def_short","0","","0","0","0"
"meas.heatmap_details_kpi2_long_def","0","","0","0","0"
"meas.heatmap_details_kpi2_max_value","0","","0","0","0"
"meas.heatmap_details_kpi2_min_value","0","","0","0","0"
"meas.heatmap_details_kpi2_reference_value","0","","0","0","0"
"meas.heatmap_details_kpi2_score_calculation","0","","0","0","0"
"meas.heatmap_details_kpi2_score_trend_calculation","0","","0","0","0"
"meas.heatmap_details_kpi2_standard_dev_value","0","","0","0","0"
"meas.heatmap_details_kpi2_value_trend","0","","0","0","0"
"meas.heatmap_details_score","0","","0","0","0"
"meas.heatmap_details_score_used_analysis","0","","0","0","0"
"meas.heatmap_details_score_w_na_nd","0","","0","0","0"
"meas.heatmap_kpi1_min_record_factor_name","0","","0","0","0"
"meas.heatmap_kpi2_min_record_factor_name","0","","0","0","0"
"meas.heatmap_trust_data_pi","0","","0","0","0"
"meas.how_kpi1_calculated","0","","0","0","0"
"meas.how_kpi1_component_considered","0","","0","0","0"
"meas.how_kpi1_score_calculation","0","","0","0","0"
"meas.how_kpi2_calculated","0","","0","0","0"
"meas.how_kpi2_component_considered","0","","0","0","0"
"meas.how_kpi2_score_calculation","0","","0","0","0"
"meas.hypothesis_final_score","0","","0","0","0"
"meas.hypothesis_is_confirmed_details","0","","0","0","0"
"meas.KPI 1_Score_change_pct","0","","0","0","0"
"meas.KPI 1_score_cy_5q","0","","0","0","0"
"meas.KPI 2_Score_change_pct","0","","0","0","0"
"meas.KPI 2_score_cy_5q","0","","0","0","0"
"meas.kpi_combined_score_calculation","0","","0","0","0"
"meas.kpi_score_combined_text","0","","0","0","0"
"meas.kpi1_ai_score_trust","0","","0","0","0"
"meas.kpi1_score_change_text","0","","0","0","0"
"meas.kpi1_score_cy","0","","0","0","0"
"meas.kpi1_score_last_3_month","0","","0","0","0"
"meas.kpi1_score_last_3_prior_month","0","","0","0","0"
"meas.kpi1_value_delta_top","0","","0","0","0"
"meas.kpi2_ai_score_trust","0","","0","0","0"
"meas.kpi2_score_change_text","0","","0","0","0"
"meas.kpi2_score_last_3_month","0","","0","0","0"
"meas.kpi2_score_last_3_prior_month","0","","0","0","0"
"meas.kpi2_value_delta_top","0","","0","0","0"
"meas.loading","0","","0","0","0"
