"measure","inbound_measure_refs","dependent_measures","report_refs","visual_refs"
"dbg.cohort_success_intersection","0","","0","0"
"meas.active_list_owner_user_role_aliased","0","","0","0"
"meas.adj_dur_confidence","0","","0","0"
"meas.adj_dur_confidence_status_number","0","","0","0"
"meas.aliasing_label","0","","0","0"
"meas.aliasing_label_entity_cust_field_1","0","","0","0"
"meas.aliasing_labels_cust_field","0","","0","0"
"meas.all_stkhlds_title","0","","0","0"
"meas.annual_booking_mrr_existing_customer_selling_won_amt","0","","0","0"
"meas.annual_booking_mrr_new_logo_won_amt","0","","0","0"
"meas.annual_booking_mrr_won_amt","0","","0","0"
"meas.annual_booking_mrr_won_amt_text","0","","0","0"
"meas.avg_time_spent_per_deal_ratio_existing_customer_selling","0","","0","0"
"meas.avg_time_spent_per_deal_ratio_new_logo_selling","0","","0","0"
"meas.avg_time_spent_per_deal_ratio_post_sales_support","0","","0","0"
"meas.avg_time_spent_per_deal_ratio_prospecting","0","","0","0"
"meas.bucket_num","0","","0","0"
"meas.count_greater_than_thresh","0","","0","0"
"meas.crm_currency","0","","0","0"
"meas.crm_name","0","","0","0"
"meas.exp_rpts_current_year_closed_deals","0","","0","0"
"meas.exp_rpts_current_year_expected_win_rate","0","","0","0"
"meas.exp_rpts_current_year_lead_gen","0","","0","0"
"meas.exp_rpts_current_year_new_logo_won_amt","0","","0","0"
"meas.exp_rpts_current_year_new_logo_won_deals","0","","0","0"
"meas.exp_rpts_current_year_pipeline_amt","0","","0","0"
"meas.exp_rpts_current_year_won_amt","0","","0","0"
"meas.exp_rpts_current_year_won_deals","0","","0","0"
"meas.exp_rpts_last_year_closed_deals","0","","0","0"
"meas.exp_rpts_last_year_expected_win_rate","0","","0","0"
"meas.exp_rpts_last_year_lead_gen","0","","0","0"
"meas.exp_rpts_last_year_new_logo_won_amt","0","","0","0"
"meas.exp_rpts_last_year_new_logo_won_deals","0","","0","0"
"meas.exp_rpts_last_year_pipeline_amt","0","","0","0"
"meas.exp_rpts_last_year_won_amt","0","","0","0"
"meas.exp_rpts_last_year_won_deals","0","","0","0"
"meas.exp_rpts_prior_to_last_year_closed_deals","0","","0","0"
"meas.exp_rpts_prior_to_last_year_expected_win_rate","0","","0","0"
"meas.exp_rpts_prior_to_last_year_lead_gen","0","","0","0"
"meas.exp_rpts_prior_to_last_year_new_logo_won_amt","0","","0","0"
"meas.exp_rpts_prior_to_last_year_new_logo_won_deals","0","","0","0"
"meas.exp_rpts_prior_to_last_year_pipeline_amt","0","","0","0"
"meas.exp_rpts_prior_to_last_year_won_amt","0","","0","0"
"meas.exp_rpts_prior_to_last_year_won_deals","0","","0","0"
"meas.filter_cal_start_dates_with_end_date","0","","0","0"
"meas.loss_reason_population_coverage_pct","0","","0","0"
"meas.loss_reason_population_coverage_pct_new","0","","0","0"
"meas.manager_direct_active_mgr_full_name","0","","0","0"
"meas.most_involved_rep","0","","0","0"
"meas.open_leads_tbl_title","0","","0","0"
"meas.opps_addr_location","0","","0","0"
"meas.opps_asof_open_pipeline_amt","0","","0","0"
"meas.opps_asof_open_pipeline_count","0","","0","0"
"meas.opps_asof_open_pipeline_expected_value","0","","0","0"
"meas.opps_average_won_amt","0","","0","0"
"meas.opps_closed_date","0","","0","0"
"meas.opps_per_acts_avg_ae","0","","0","0"
"meas.opps_per_acts_avg_am","0","","0","0"
"meas.opps_per_acts_avg_mgmt","0","","0","0"
"meas.opps_per_acts_avg_other","0","","0","0"
"meas.opps_per_acts_avg_sdr","0","","0","0"
"meas.opps_per_dur_hrs_avg_ae","0","","0","0"
"meas.opps_per_dur_hrs_avg_am","0","","0","0"
"meas.opps_per_dur_hrs_avg_mgmt","0","","0","0"
"meas.opps_per_dur_hrs_avg_other","0","","0","0"
"meas.opps_per_dur_hrs_avg_sdr","0","","0","0"
"meas.opps_per_owner_avg_ae","0","","0","0"
"meas.opps_per_owner_avg_am","0","","0","0"
"meas.opps_per_owner_avg_mgmt","0","","0","0"
"meas.opps_per_owner_avg_other","0","","0","0"
"meas.opps_trueai_book_amt","0","","0","0"
"meas.opps_trueai_sales_type","0","","0","0"
"meas.opps_trueai_stage","0","","0","0"
"meas.owner_full_name","0","","0","0"
"meas.pipeline_amt_sum","0","","0","0"
"meas.sales_booking_amt","0","","0","0"
"meas.ssr_first_touch_date","0","","0","0"
"meas.ssr_funnel_stage_progression","0","","0","0"
"meas.ssr_history_acct_count_existing_customer_selling","0","","0","0"
"meas.ssr_history_acct_count_new_logo","0","","0","0"
"meas.ssr_history_acct_count_post_sales","0","","0","0"
"meas.ssr_history_acct_count_prospecting","0","","0","0"
"meas.ssr_history_acct_count_untouched","0","","0","0"
"meas.ssr_history_accts_per_rep","0","","0","0"
"meas.ssr_history_accts_per_rep_existing_business","0","","0","0"
"meas.ssr_history_accts_per_rep_existing_business_supported","0","","0","0"
"meas.ssr_history_accts_per_rep_existing_business_upsold_to","0","","0","0"
"meas.ssr_history_accts_per_rep_existing_business_won","0","","0","0"
"meas.ssr_history_accts_per_rep_existing_customer_selling","0","","0","0"
"meas.ssr_history_accts_per_rep_new_business","0","","0","0"
"meas.ssr_history_accts_per_rep_new_business_won","0","","0","0"
"meas.ssr_history_accts_per_rep_new_logo","0","","0","0"
"meas.ssr_history_accts_per_rep_new_logo_prospecting","0","","0","0"
"meas.ssr_history_accts_per_rep_post_sales","0","","0","0"
"meas.ssr_history_accts_per_rep_post_sales_existing_customer_selling","0","","0","0"
"meas.ssr_history_accts_per_rep_prospecting","0","","0","0"
"meas.ssr_history_active_avg_sales_cycle","0","","0","0"
"meas.ssr_history_active_deal_size","0","","0","0"
"meas.ssr_history_active_deals_count","0","","0","0"
"meas.ssr_history_active_list_reps_count","0","","0","0"
"meas.ssr_history_active_open_pipe_amt","0","","0","0"
"meas.ssr_history_active_tot_open_pipeline_amt","0","","0","0"
"meas.ssr_history_active_user_booking_amt_mtd","0","","0","0"
"meas.ssr_history_active_user_booking_amt_qtd","0","","0","0"
"meas.ssr_history_active_user_booking_amt_ytd","0","","0","0"
"meas.ssr_history_active_user_full_name_role_group","0","","0","0"
"meas.ssr_history_active_user_pipeline_amt_mtd","0","","0","0"
"meas.ssr_history_active_user_pipeline_amt_qtd","0","","0","0"
"meas.ssr_history_active_user_pipeline_amt_ytd","0","","0","0"
"meas.ssr_history_all_email_engagement_rate","0","","0","0"
"meas.ssr_history_all_meeting_engagement_rate","0","","0","0"
"meas.ssr_history_all_phone_call_count","0","","0","0"
"meas.ssr_history_all_phone_call_engagement_rate","0","","0","0"
"meas.ssr_history_all_reps_count","0","","0","0"
"meas.ssr_history_all_social_media_engagement_rate","0","","0","0"
"meas.ssr_history_all_social_media_engagement_rate-test","0","","0","0"
"meas.ssr_history_asof_open_pipeline_adj_amt_sply_diff","0","","0","0"
"meas.ssr_history_asof_open_pipeline_age_sply_diff","0","","0","0"
"meas.ssr_history_asof_open_pipeline_amt_sply_diff","0","","0","0"
"meas.ssr_history_asof_open_pipeline_count_sply_diff","0","","0","0"
"meas.ssr_history_asof_open_pipeline_days_pushed_sply_diff","0","","0","0"
"meas.ssr_history_asof_open_pipeline_win_prob_sply_diff","0","","0","0"
"meas.ssr_history_avg_act_capt_lvl","0","","0","0"
"meas.ssr_history_avg_adj_non_eng_duration_hrs","0","","0","0"
"meas.ssr_history_avg_booking_amt","0","","0","0"
"meas.ssr_history_avg_initial_actual_amt_diff","0","","0","0"
"meas.ssr_history_avg_new_logo_won_amt","0","","0","0"
"meas.ssr_history_avg_next_steps_prob","0","","0","0"
"meas.ssr_history_avg_opp_initial_booking_amt","0","","0","0"
"meas.ssr_history_avg_pred_conv_rate_mtd_sply_diff","0","","0","0"
"meas.ssr_history_avg_pred_conv_rate_qtd_sply_diff","0","","0","0"
"meas.ssr_history_avg_pred_conv_rate_ytd_sply_diff","0","","0","0"
"meas.ssr_history_avg_pushed_pulled_days_diff","0","","0","0"
"meas.ssr_history_avg_won_amt_diff","0","","0","0"
"meas.ssr_history_avg_won_cycles_days_diff","0","","0","0"
"meas.ssr_history_avg_won_existing_customer_selling_amt","0","","0","0"
"meas.ssr_history_avg_won_new_logo_amt","0","","0","0"
