"measure","table","inbound_measure_refs","report_refs","visual_refs"
"dbg.cohort_success_intersection","ssr_history","0","0","0"
"meas.active_list_owner_user_role_aliased","ssr_history","0","0","0"
"meas.adj_dur_confidence","ssr_history","0","0","0"
"meas.adj_dur_confidence_status_number","ssr_history","0","0","0"
"meas.aliasing_label","ssr_history","0","0","0"
"meas.aliasing_label_entity_cust_field_1","ssr_history","0","0","0"
"meas.aliasing_labels_cust_field","ssr_history","0","0","0"
"meas.all_stkhlds_count","ssr_history","0","0","0"
"meas.all_stkhlds_title","ssr_history","0","0","0"
"meas.annual_booking_mrr_existing_customer_selling_won_amt","ssr_history","0","0","0"
"meas.annual_booking_mrr_new_logo_won_amt","ssr_history","0","0","0"
"meas.annual_booking_mrr_won_amt","ssr_history","0","0","0"
"meas.annual_booking_mrr_won_amt_text","ssr_history","0","0","0"
"meas.avg_time_spent_per_deal_ratio_existing_customer_selling","ssr_history","0","0","0"
"meas.avg_time_spent_per_deal_ratio_new_logo_selling","ssr_history","0","0","0"
"meas.avg_time_spent_per_deal_ratio_post_sales_support","ssr_history","0","0","0"
"meas.avg_time_spent_per_deal_ratio_prospecting","ssr_history","0","0","0"
"meas.bucket_num","ssr_history","0","0","0"
"meas.count_greater_than_thresh","ssr_history","0","0","0"
"meas.crm_currency","ssr_history","0","0","0"
"meas.crm_name","ssr_history","0","0","0"
"meas.exp_rpts_all_closed_deals","ssr_history","0","0","0"
"meas.exp_rpts_all_expected_win_rate","ssr_history","0","0","0"
"meas.exp_rpts_all_lead_gen","ssr_history","0","0","0"
"meas.exp_rpts_all_new_logo_deals_count","ssr_history","0","0","0"
"meas.exp_rpts_all_new_logo_won_amt","ssr_history","0","0","0"
"meas.exp_rpts_all_pipeline_amt","ssr_history","0","0","0"
"meas.exp_rpts_all_won_amt","ssr_history","0","0","0"
"meas.exp_rpts_current_year_closed_deals","ssr_history","0","0","0"
"meas.exp_rpts_current_year_expected_win_rate","ssr_history","0","0","0"
"meas.exp_rpts_current_year_lead_gen","ssr_history","0","0","0"
"meas.exp_rpts_current_year_new_logo_won_amt","ssr_history","0","0","0"
"meas.exp_rpts_current_year_new_logo_won_deals","ssr_history","0","0","0"
"meas.exp_rpts_current_year_pipeline_amt","ssr_history","0","0","0"
"meas.exp_rpts_current_year_won_amt","ssr_history","0","0","0"
"meas.exp_rpts_current_year_won_deals","ssr_history","0","0","0"
"meas.exp_rpts_existing_customer_all_deals","ssr_history","0","0","0"
"meas.exp_rpts_last_year_closed_deals","ssr_history","0","0","0"
"meas.exp_rpts_last_year_expected_win_rate","ssr_history","0","0","0"
"meas.exp_rpts_last_year_lead_gen","ssr_history","0","0","0"
"meas.exp_rpts_last_year_new_logo_won_amt","ssr_history","0","0","0"
"meas.exp_rpts_last_year_new_logo_won_deals","ssr_history","0","0","0"
"meas.exp_rpts_last_year_pipeline_amt","ssr_history","0","0","0"
"meas.exp_rpts_last_year_won_amt","ssr_history","0","0","0"
"meas.exp_rpts_last_year_won_deals","ssr_history","0","0","0"
"meas.exp_rpts_prior_to_last_year_closed_deals","ssr_history","0","0","0"
"meas.exp_rpts_prior_to_last_year_expected_win_rate","ssr_history","0","0","0"
"meas.exp_rpts_prior_to_last_year_lead_gen","ssr_history","0","0","0"
"meas.exp_rpts_prior_to_last_year_new_logo_won_amt","ssr_history","0","0","0"
"meas.exp_rpts_prior_to_last_year_new_logo_won_deals","ssr_history","0","0","0"
"meas.exp_rpts_prior_to_last_year_pipeline_amt","ssr_history","0","0","0"
"meas.exp_rpts_prior_to_last_year_won_amt","ssr_history","0","0","0"
"meas.exp_rpts_prior_to_last_year_won_deals","ssr_history","0","0","0"
"meas.filter_cal_start_dates_with_end_date","ssr_history","0","0","0"
"meas.loss_reason_population_coverage_pct","ssr_history","0","0","0"
"meas.loss_reason_population_coverage_pct_new","ssr_history","0","0","0"
"meas.manager_direct_active_mgr_full_name","ssr_history","0","0","0"
"meas.most_involved_rep","ssr_history","0","0","0"
"meas.open_leads_tbl_title","ssr_history","0","0","0"
"meas.opps_addr_location","ssr_history","0","0","0"
"meas.opps_asof_open_pipeline_amt","ssr_history","0","0","0"
"meas.opps_asof_open_pipeline_count","ssr_history","0","0","0"
"meas.opps_asof_open_pipeline_expected_value","ssr_history","0","0","0"
"meas.opps_average_won_amt","ssr_history","0","0","0"
"meas.opps_closed_date","ssr_history","0","0","0"
"meas.opps_per_acts_avg","ssr_history","0","0","0"
"meas.opps_per_acts_avg_ae","ssr_history","0","0","0"
"meas.opps_per_acts_avg_am","ssr_history","0","0","0"
"meas.opps_per_acts_avg_mgmt","ssr_history","0","0","0"
"meas.opps_per_acts_avg_other","ssr_history","0","0","0"
"meas.opps_per_acts_avg_sdr","ssr_history","0","0","0"
"meas.opps_per_dur_hrs_avg","ssr_history","0","0","0"
"meas.opps_per_dur_hrs_avg_ae","ssr_history","0","0","0"
