"measure","current_purpose","expression_sample","replacement_description"
"meas.data_logs_user_mgr_count_eop","","var fromDate =[meas.context_date_min]","Calculates data logs user manager count end of period. Uses the selected date range context. Uses the latest snapshot date within the current filter context."
"meas.data_logs_user_new_hires_reached_performer_within_12_months","","var fromDate =[meas.context_date_min]","Calculates data logs user new hires reached performer within 12 months. Uses the selected date range context."
"meas.data_logs_user_new_terminations","","var fromDate =[meas.context_date_min]","Counts users terminated during the selected period. Uses the selected date range context."
"meas.data_logs_user_individual_contrib_count_eop","","[meas.data_logs_user_count_eop_for_all_sales_roles]  - [meas.data_logs_user_count_eop_for_mgr]","Calculates data logs user individual contrib count end of period."
"meas.data_logs_user_rep_mgr_ratio","","//divide(users_history[meas.data_logs_user_individual_contrib_count_eop] ,users_history[meas.data_logs_user_count_eop_for_mgr])","Calculates representative-to-manager ratio in the selected reporting context."
"meas.data_logs_user_count_eop","","var fromDate =[meas.context_date_min]","Counts users at the end of the selected period. Uses the selected date range context. Uses the latest snapshot date within the current filter context."
"meas.data_logs_user_new_terminations_within_12_months","","var fromDate =[meas.context_date_min]","Calculates data logs user new terminations within 12 months. Uses the selected date range context."
"meas.data_logs_ci_perf_tier_count","","var month_instances = CALCULATE(COUNT(users_history[col.ci.perf_qtly_performance_tier]))  // how many months in this perf cat","Calculates data logs customer intelligence performance tier count."
"meas.data_logs_user_net_new_users","","[meas.data_logs_user_new_hires] + [meas.data_logs_user_new_terminations]","Calculates net user change as new hires plus net termination contribution for the selected period. Calculates peer context values using the selected role."
"meas.data_logs_ci_perf_annual_avg_bookings","","var end_date =   [meas.companies_history_reference_date]","Calculates annual average bookings performance for the selected user scope. Calculates peer context values using the selected role."
"meas.data_logs_user_count_bop","","var fromDate =[meas.context_date_min]","Counts users at the beginning of the selected period. Uses the selected date range context."
"meas.data_logs_user_count_change","","divide([meas.data_logs_user_new_hires] , [meas.data_logs_user_count_bop], BLANK())","Calculates data logs user count change."
"meas.data_logs_user_new_hires","","var fromDate =[meas.context_date_min]","Counts users hired during the selected period. Uses the selected date range context."
"meas.data_logs_user_new_terminations_within_12_months_avg_tenure","","var fromDate =[meas.context_date_min]","Calculates data logs user new terminations within 12 months average tenure. Uses the selected date range context."
"meas.data_logs_user_new_hires_reached_performer_success_rate","","var tot_new_hires  = [meas.data_logs_user_new_hires]","Calculates data logs user new hires reached performer success rate."
"meas.data_logs_user_new_terminations_within_12_months_failure_rate","","divide( -1 * [meas.data_logs_user_new_terminations_within_12_months],  [meas.data_logs_user_new_hires] , BLANK())","Calculates data logs user new terminations within 12 months failure rate."
"meas.data_logs_user_new_hires_reached_performer_within_12_months_avg_tenure","","VAR fromDate = [meas.context_date_min]","Calculates data logs user new hires reached performer within 12 months average tenure. Uses the selected date range context. Calculates peer context values using the selected role."
"meas.data_logs_ci_perf_annual_avg_pipeline_created","","var end_date =   [meas.companies_history_reference_date]","Calculates annual average pipeline-created performance for the selected user scope. Calculates peer context values using the selected role."
"meas.users_history_ramping_reps_count_eop","","var fromDate =[meas.context_date_min]","Counts ramping representatives at end of period. Uses the selected date range context. Uses the latest snapshot date within the current filter context. Filters to users marked with ramping status."
"meas.user_history_period_count","","CALCULATE(DISTINCTCOUNT(users_history[_sys_filt_start_date]))","Counts distinct reporting periods in the current filter context."
"meas.users_history_vi_value_received_all_prior_time","","var max_date = CALCULATE(max(cal_end_dates[Date]))","Calculates cumulative value received for all prior time up to the selected reporting boundary."
"meas.user_history_user_new_hires_reached_perf_in_12_month","","var fromDate =[meas.context_date_min]","Counts new hires who reached performer status within twelve months. Uses the selected date range context."
"meas.user_history_user_new_hires_didnt_reach_perf_in_12_month","","var fromDate =[meas.context_date_min]","Counts new hires who did not reach performer status within twelve months. Uses the selected date range context."
"meas.user_history_user_new_hires_terminated_in_12_month","","var fromDate =[meas.context_date_min]","Counts new hires terminated within twelve months. Uses the selected date range context. Calculates peer context values using the selected role."
"meas.users_history_ci_perf_avg_attainment","","var tbl_reps = SUMMARIZE(CALCULATETABLE(users_history,users_history[ci_perf_qtly_avg_bookings_peers] > 1 ), users_history[_sys_user_id],  ""rep_sum"",  sum(users_history[col.ci.perf_qtly_bookings_user]), ""peer_sum"",  sum(users_history[ci_perf_qtly_avg_bookings_peers]))","Calculates average performance attainment across users in the selected context. Calculates peer context values using the selected role."
"meas.data_logs_user_count_eop_for_ae","","CALCULATE(","Counts end-of-period users for Account Executive."
"meas.data_logs_user_count_eop_for_am","","CALCULATE(","Counts end-of-period users for Account Manager."
