"report","tab","page_id","visual_id","uses_managers_direct","uses_managers_total","visual_path"
"Dataset - Azure Data Lake - Automatic Data Enhancement.Report","report footer","ReportSectionfb4ad4f9580c6f7021e2","178e44cc13ea1f178dea","False","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.Report\definition\pages\ReportSectionfb4ad4f9580c6f7021e2\visuals\178e44cc13ea1f178dea\visual.json"
"Dataset - Azure Data Lake - Automatic Data Enhancement.Report","report footer","ReportSectionfb4ad4f9580c6f7021e2","47efff9b969d56181023","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.Report\definition\pages\ReportSectionfb4ad4f9580c6f7021e2\visuals\47efff9b969d56181023\visual.json"
"Dataset - Azure Data Lake - Sales Performance.Report","Page 10","72fb1acad07728899be1","7f4014d2bf87c7042c85","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Dataset - Azure Data Lake - Sales Performance.Report\definition\pages\72fb1acad07728899be1\visuals\7f4014d2bf87c7042c85\visual.json"
"Dataset - Azure Data Lake - Sales Performance.Report","Page 22","06a176424249d1bcd8b5","4bd59d79e68eec7c56a4","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Dataset - Azure Data Lake - Sales Performance.Report\definition\pages\06a176424249d1bcd8b5\visuals\4bd59d79e68eec7c56a4\visual.json"
"Dataset - Azure Data Lake - Sales Performance.Report","Page 6","5def521dc5aa28c708e2","8f07daccc30ec3438962","False","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Dataset - Azure Data Lake - Sales Performance.Report\definition\pages\5def521dc5aa28c708e2\visuals\8f07daccc30ec3438962\visual.json"
"Dataset - Azure Data Lake - Sales Performance.Report","Page 6","5def521dc5aa28c708e2","f6b06ff265540d11260f","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Dataset - Azure Data Lake - Sales Performance.Report\definition\pages\5def521dc5aa28c708e2\visuals\f6b06ff265540d11260f\visual.json"
"Management Report.Report","Active User List","4a2dcafcd031fd9e40f7","36ff3a2299a422445bd9","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Management Report.Report\definition\pages\4a2dcafcd031fd9e40f7\visuals\36ff3a2299a422445bd9\visual.json"
"Management Report.Report","Active User List","4a2dcafcd031fd9e40f7","4420acbe34c680ba075a","False","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Management Report.Report\definition\pages\4a2dcafcd031fd9e40f7\visuals\4420acbe34c680ba075a\visual.json"
"Management Report.Report","Bookings Overview","7f82bd75990ba616902d","54f31f25d0ccbdca1c0a","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Management Report.Report\definition\pages\7f82bd75990ba616902d\visuals\54f31f25d0ccbdca1c0a\visual.json"
"Management Report.Report","Bookings Overview","7f82bd75990ba616902d","ed5bf1549738d70283b9","False","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Management Report.Report\definition\pages\7f82bd75990ba616902d\visuals\ed5bf1549738d70283b9\visual.json"
"Management Report.Report","Closed Opps List","ReportSection13eb70c2280d9d5d0b6d","014f149141a15c014a7a","False","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Management Report.Report\definition\pages\ReportSection13eb70c2280d9d5d0b6d\visuals\014f149141a15c014a7a\visual.json"
"Management Report.Report","Closed Opps List","ReportSection13eb70c2280d9d5d0b6d","e48047e764ce357a3a49","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Management Report.Report\definition\pages\ReportSection13eb70c2280d9d5d0b6d\visuals\e48047e764ce357a3a49\visual.json"
"Management Report.Report","Lead Generation Overview","a67c4ea363e2e8c79b91","410bcd1f928e6d10ae2a","False","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Management Report.Report\definition\pages\a67c4ea363e2e8c79b91\visuals\410bcd1f928e6d10ae2a\visual.json"
"Management Report.Report","Lead Generation Overview","a67c4ea363e2e8c79b91","863fe5e78cb97c66e7ea","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Management Report.Report\definition\pages\a67c4ea363e2e8c79b91\visuals\863fe5e78cb97c66e7ea\visual.json"
