semantic_model,measure_name,score,purpose_ok,logic_ok,deps_ok,context_ok,output_ok,flags
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,Last Data Date,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.account_trueai_completeness_improvement,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.account_trueai_dupe_rate,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.accounts_trueai_non_dupe_counts,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.act_capt_act_per_step_avg,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.act_capt_activity_count,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.act_capt_applicable_reps,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.act_capt_dur_per_step_avg,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.act_capt_duration,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.act_capt_duration_weekly_rep_avg,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.act_capt_expected_dur_per_step_avg,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.act_capt_expected_duration,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.act_capt_expected_duration_weekly_rep_avg,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.act_capt_lvl_summary_time_alloc_eng,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.act_capt_lvl_summary_time_alloc_non_eng,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.act_capture,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.act_capture_adjustment_factor,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.act_time_alloc_adj_durations_h,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.act_time_alloc_avg_dur,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.act_time_alloc_capture_lvl,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.act_time_alloc_captured_durations_h,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.act_time_alloc_hours_weekly,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.act_time_alloc_hours_weekly_test,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.act_time_alloc_reps,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.act_time_alloc_reps_w_act_capt_level,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.act_time_alloc_user_months_w_time_alloc,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.act_time_rep_act_capture_value_pct,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.act_time_rep_w_act_capt_level_pct,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_conf_overall_score,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_conf_overall_score_instry_avg,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_conf_overall_score_text,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_conf_score_text,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_score,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_scores_accts_industry,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_scores_accts_industry_factor1_name,4,1,0,1,1,1,logic_generic
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_scores_accts_industry_factor1_value,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_scores_accts_industry_text,4,1,0,1,1,1,logic_generic
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_scores_accts_leadsource,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_scores_accts_leadsource_factor1_name,4,1,0,1,1,1,logic_generic
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_scores_accts_leadsource_factor1_value,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_scores_accts_leadsource_text,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_scores_adj_duration,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_scores_adj_duration_factor1_name,4,1,0,1,1,1,logic_generic
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_scores_adj_duration_factor1_value,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_scores_adj_duration_text,4,1,0,1,1,1,logic_generic
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_scores_booking_calibration,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_scores_booking_calibration_factor1_name,4,1,0,1,1,1,logic_generic
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_scores_booking_calibration_factor1_value,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_scores_booking_calibration_factor2_value,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_scores_booking_calibration_text,4,1,0,1,1,1,logic_generic
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_scores_ci_act_capt_lvl,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_scores_ci_act_capt_lvl_conf,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_scores_ci_act_capt_lvl_conf_factor1_value,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_scores_ci_act_capt_lvl_conf_text,4,1,0,1,1,1,logic_generic
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_scores_ci_act_capt_lvl_factor1_name,4,1,0,1,1,1,logic_generic
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_scores_ci_act_capt_lvl_text,4,1,0,1,1,1,logic_generic
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_scores_ci_closing_ability,5,1,1,1,1,1,
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_scores_ci_closing_ability_factor1_name,4,1,0,1,1,1,logic_generic
Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,meas.ai_scores_ci_closing_ability_factor1_value,5,1,1,1,1,1,
