"Model","RowLabel","Value"
"Utility","Closing Ability","89.7575063292972"
"Utility","Discovery Skill","82.2163224469801"
"Utility","Engagement Ability","89.8598717418056"
"Utility","Work Effort","90.8836067268139"
"Utility","Time Allocation","87.7353830836854"
"Utility","Activity Capture Level","86.6196834795884"
"Utility","Deal Maximizing","46.498082158699"
"Utility","Prospecting Success Predictions","92.3367284053549"
"Utility","Existing Customer Selling Success Predictions","87.789977364319"
"Utility","New Logo Selling Success Predictions","78.8452655914442"
"Utility","Post-Sales Support Success Predictions","49.5007030851174"
"Utility","Adjusted Duration","94.5781008793386"
"ADE","Closing Ability","87"
"ADE","Discovery Skill","78"
"ADE","Engagement Ability","87"
"ADE","Work Effort","88"
"ADE","Time Allocation","87.7353830836854"
"ADE","Activity Capture Level","86.6196834795884"
"ADE","Deal Maximizing","50"
"ADE","Prospecting Success Predictions","92"
"ADE","Existing Customer Selling Success Predictions","90"
"ADE","New Logo Selling Success Predictions","87.6254586046216"
"ADE","Post-Sales Support Success Predictions","85.4654047163773"
"ADE","Adjusted Duration","94.5852095313085"
