"Model","Score","Value"
"Utility","Adjusted Duration","91.8513967685714"
"Utility","New Logo Selling Success Predictions","78.8452655914442"
"Utility","Post-Sales Support Success Predictions","49.5007030851174"
"Utility","SSR Industry Consolidation","81.4174036258776"
"Utility","SSR Lead Source Consolidation","79.4460981682384"
"ADE","Adjusted Duration","91.8513967685723"
"ADE","New Logo Selling Success Predictions","78.8452655914442"
"ADE","Post-Sales Support Success Predictions","49.5007030851174"
"ADE","SSR Industry Consolidation","81.4174036258776"
"ADE","SSR Lead Source Consolidation","79.4460981682384"
