file,model,table,column,description,dataType,formatString,lineageTag,sourceColumn
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,_sys_ssr_id,System: Id of the SSR document the record belongs to,string,,f61a3582-d6c5-4aff-8ab0-d79cbcfcb808,_sys_ssr_id
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,crm_deep_link,CRM: Link to the account in the remote system (such as Salesforce),string,,6b0ff765-12e8-4ec9-92a8-1d7cda849fdb,crm_deep_link
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,crm_name,CRM: Name of the account,string,,5653bf07-edcc-4c33-a259-e75e02cb07fe,crm_name
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,crm_account_type,CRM: Account's type in the CRM,string,,bd2a1572-bfe3-40ec-87a7-546df341266a,crm_account_type
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,crm_leadsource,CRM: Account's lead source in the CRM,string,,eabe42c4-4ba1-4e3b-b049-5703a26a4f38,crm_leadsource
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,crm_industry,CRM: Account's industry in the CRM,string,,f416a837-623b-4738-8eb2-b3be23cbf182,crm_industry
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,crm_num_employees,CRM: Account's number of employees in the CRM,int64,0,2d1865ff-599c-4c87-9e51-c821a68887a2,crm_num_employees
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,trueai_is_master,TrueAI: Boolean flag that indicates whether the account is the master account in its group of duplicates,boolean,"""""""TRUE"""";""""TRUE"""";""""FALSE""""""",25e98588-65ff-476e-af2f-ddfd0d7e78da,trueai_is_master
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,trueai_first_touch,TrueAI: Date when the account was first touched,dateTime,General Date,8f4efb91-dd81-44b8-a5e9-c4f641d2c753,trueai_first_touch
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,trueai_last_touch,TrueAI: Date when the account was last touched,dateTime,General Date,a6e3f5be-197a-4366-aee2-7cac1cf4ab6c,trueai_last_touch
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,trueai_converted_date,TrueAI: Account's converted date,dateTime,General Date,4a6f27f1-9af4-438b-ad3e-f2e7823b68db,trueai_converted_date
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,trueai_last_outcome,TrueAI: Account's last outcome,dateTime,General Date,c9b3e7da-a5c2-43a5-a0ca-e958e207afb4,trueai_last_outcome
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,trueai_leadsource,TrueAI: Account's standardized lead source,string,,a71914d7-90ba-4f57-97d8-82581762df82,trueai_leadsource
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,trueai_industry,TrueAI: Account's standardized industry,string,,a9dbf3d6-c150-491f-ba9b-53c21529892d,trueai_industry
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,trueai_company_size,TrueAI: Account's standardized company size,string,,1a29ec72-c250-4887-a27b-8f1ed0c19ecf,trueai_company_size
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,trueai_qual_bucket,TrueAI: Quality bucket based on the probability of conversion,string,,14404f74-c540-4b2c-a116-40d601550b7c,trueai_qual_bucket
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,crm_parent_id,CRM: Account's parent id in the CRM,string,,9b74fa54-8d89-4d2a-a893-04b4fbd5d73c,crm_parent_id
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,trueai_company_size_rule,TrueAI: Account's standardized company size prediction rule,int64,0,589dd272-e5f2-48b6-ab0b-1a24d5251e2a,trueai_company_size_rule
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,trueai_industry_rule,TrueAI: Account's standardized industry prediction rule,int64,0,a59811bb-69cd-4619-b452-6dd934339c12,trueai_industry_rule
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,trueai_leadsource_rule,TrueAI: Account's standardized lead source prediction rule,int64,0,640b802a-5f21-4ef4-91c7-8e5f4ec2e274,trueai_leadsource_rule
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,_sys_docid,System: Text label for docid.,string,,b237a0b9-0021-47c2-8823-f2dc7b289d64,_sys_docid
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,_sys_filt_end_date,"System: The end date of the record, stripped of time",dateTime,Long Date,78cfaada-2b81-45ec-a731-14d261330b8b,_sys_filt_end_date
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,_sys_filt_start_date,"System: The start date of the record, stripped of time",dateTime,Long Date,5f6cf5e1-8216-4b80-820c-44ed9e378b3b,_sys_filt_start_date
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,crm_addr_city,CRM: Account's city in the CRM,string,,aa5b7f90-17bd-4df0-b33b-7b8e45567b45,crm_addr_city
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,crm_addr_country,CRM: Account's country in the CRM,string,,4d2c16ac-3344-4525-b71e-8147d7c83e66,crm_addr_country
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,crm_addr_postal_code,CRM: Account's postal code in the CRM,string,,31d86a02-884f-479f-b149-3a18f8e4b202,crm_addr_postal_code
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,crm_addr_state,CRM: Account's state in the CRM,string,,3fa83180-d3e5-4e23-b40b-4e371dce8015,crm_addr_state
