file,model,table,measure,expression,description,formatString,lineageTag
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,meas.account_trueai_dupe_rate,CALCULATE(DISTINCTCOUNT(accounts[trueai_account_dupe_id]) / CALCULATE(count(accounts[_sys_docid]))),Rate of account trueai dupe rate. Respects the current filter context.,0.00%;-0.00%;0.00%,78562b48-eb24-4c22-9628-a15da188859a
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,meas.account_trueai_completeness_improvement,"var crmval = CALCULATE(AVERAGE([crm_complt]))
			var aival = CALCULATE(AVERAGE([trueai_complt]))
			var impro = Divide(aival - crmval, crmval) 
			var res = If(impro > 0, ""+"" & FORMAT( impro, ""###%""),  ""No change"")
			return res",Count of account trueai completeness improvement. Respects the current filter context.,0 %,8e3a434f-82f7-400f-88ee-ac2551a93985
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\accounts.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,accounts,meas.accounts_trueai_non_dupe_counts,"var res = calculate(COUNT(accounts[_sys_docid]) , accounts[trueai_is_master] = true || isblank(accounts[trueai_is_master]) = true )
			
			
			
			/*
			id	name	dupeid	is master	
			1	john	1	1	
			2	morgan			
			3	lucy			
			4	john	1	0	
			5	john	1	0	
			6	ben			
			7	rob	2	1	
			8	rob	2	0	
			9	ronny			
			10	dodi			
							
				total	10	count(id)	
				non dupes	7	count(id) - count(dupeid) - distinct count(dupeid)	ismaster =1 or null
				records that are part of dupes	5	count (dupeid)	
				unique records duped	2	distinctcount (dupeid)	
				records that should not be included	3	 count(dupeid) - distinct count(dupeid)	ismaster=0
			*/
			
			return res",Count of accounts trueai non dupe counts. Respects the current filter context.,0,ef16364d-0133-48cc-bbbf-e0b706ffe258
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_capture_level_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_capture_level_summary,meas.act_capt_act_per_step_avg,"var act_count = calculate(Sum(act_capture_level_summary[crm_activity_count]))
			var step_count = calculate(Sum(act_capture_level_summary[steps]))
			var res  = divide(act_count, step_count)
			return res",Average of act capt act per step avg. Respects the current filter context.,0,16207cf0-5e26-48aa-a104-df98fb1f2476
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_capture_level_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_capture_level_summary,meas.act_capt_dur_per_step_avg,"var act_count = calculate(Sum(act_capture_level_summary[total_duration]))
			var step_count = calculate(Sum(act_capture_level_summary[steps]))
			
			var res  =  divide(act_count, step_count) / 3600 // convert to hours
			return res",Average of act capt dur per step avg. Respects the current filter context.,"0.0""  hrs""",a40542a2-5ae3-4406-9b52-6a626a8786db
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_capture_level_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_capture_level_summary,meas.act_capt_expected_dur_per_step_avg,"var act_count = calculate(Sum(act_capture_level_summary[expected_duration]))
			var step_count = calculate(Sum(act_capture_level_summary[steps]))
			
			var res  =  divide(act_count, step_count) / 3600 // convert to hours
			return res",Average of act capt expected dur per step avg. Respects the current filter context.,"0.0""  hrs""",d9ee9d7b-1381-44fa-979e-a67f73ac0777
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_capture_level_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_capture_level_summary,meas.act_capt_duration,"var act_dur = calculate(Sum(act_capture_level_summary[capped_duration]))
			
			
			var res  =  act_dur / 3600 // convert to hours
			return res",Measure calculating act capt duration. Respects the current filter context.,"0""  hrs""",09eba839-9cf4-451b-92e6-039b5c2bda85
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_capture_level_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_capture_level_summary,meas.act_capt_expected_duration,"var act_dur = calculate(Sum(act_capture_level_summary[expected_duration]))
			
			
			var res  =  act_dur / 3600 // convert to hours
			return res",Measure calculating act capt expected duration. Respects the current filter context.,"0""  hrs""",24a29e7e-20f0-4791-809e-b832d47a0339
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_capture_level_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_capture_level_summary,meas.act_capture,,Measure calculating act capture. Respects the current filter context.,"#,0.00",8e90b6fc-50af-4cda-aa88-8e9ce3d90e83
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_capture_level_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_capture_level_summary,meas.act_capt_duration_weekly_rep_avg,"// way to calculate the avg weekly rep time spent on the current ""selection""
			var dur = CALCULATE(sum(act_capture_level_summary[capped_duration])) / 3600 // get duration in hours
			var months = CALCULATE(distinctcount(act_capture_level_summary[_sys_filter_start_date])) // up to 4 entries per month per rep so pull distinct per month
			var weeks = CALCULATE(average(act_capture_level_summary[month_to_week_adjustment]), ISBLANK(act_capture_level_summary[capped_duration]) = false) * months // multiply the avg. weeks in a 
			var reps =  [meas.act_capt_applicable_reps]
			var val = dur / weeks/ reps // get the duration per week per rep
			var res =   round(val * 2 , 0) / 2 // round to closest 0.5 and format w/ format string ""#.0hrs/week""
			return res",Average of act capt duration weekly rep avg. Respects the current filter context.,"#.0"" hrs""",e44d402a-28ad-472f-9ffb-4c9c23412f3e
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_capture_level_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_capture_level_summary,meas.act_capt_expected_duration_weekly_rep_avg,"// way to calculate the avg weekly rep time spent on the current ""selection""
			var dur = CALCULATE(sum(act_capture_level_summary[expected_duration])) / 3600 // get duration in hours
			var months = CALCULATE(distinctcount(act_capture_level_summary[_sys_filter_start_date])) // up to 4 entries per month per rep so pull distinct per month
			var weeks = CALCULATE(average(act_capture_level_summary[month_to_week_adjustment]), ISBLANK(act_capture_level_summary[expected_duration]) = false) * months // multiply the avg. weeks in  
			var reps =  [meas.act_capt_applicable_reps]
			var val = dur / weeks/ reps // get the duration per week per rep
			var res =   round(val * 2 , 0) / 2 // round to closest 0.5 and format w/ format string ""#.0hrs/week""
			return val",Average of act capt expected duration weekly rep avg. Respects the current filter context.,,0b5ebe13-d803-4116-b8de-dd52ee14d8df
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_capture_level_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_capture_level_summary,meas.crm_act_capt_score,,Measure calculating crm act capt score. Respects the current filter context.,0,4afafcb3-593b-4adb-8956-99da37a8f1f6
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_capture_level_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_capture_level_summary,meas.crm_act_capt_score_industry_avg,,Average of crm act capt score industry avg. Respects the current filter context.,0,25caccab-5c62-4871-8096-7c890988147a
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_capture_level_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_capture_level_summary,meas.trueai_act_capt_score,"VAR _before = [meas.crm_act_capt_score]
			VAR temp_tbl =
			    CALCULATETABLE(
			        ssr_history,
			        ssr_history[step_name] IN {
			            ""Prospecting"",
			            ""New Logo Selling"",
			            ""Post-Sales Support"",
			            ""Existing Customer Selling""
			        }
			    )
			VAR score_res =
			    AVERAGEX(
			        temp_tbl,
			        SWITCH(
			            ssr_history[stkhlds_all_adj_dur_rule],
			            133002, 0.4,
			            133001, 0.7,
			            133003, 0.97,
			            133004, 0.86
			        )
			    )
			VAR _after = ROUND(score_res * 100, 0)
			VAR res = IF(_after < _before, _before, _after)
			RETURN res",Measure calculating trueai act capt score. Respects the current filter context.,0,fbbac8e0-05bb-41a5-8e39-2343fc1b4f37
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_capture_level_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_capture_level_summary,meas.trueai_act_capt_score_improvement,,Measure calculating trueai act capt score improvement. Respects the current filter context.,+#%;-#%;0%,235e9aad-68ad-45cf-b962-a4412234d120
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_capture_level_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_capture_level_summary,meas.act_capture_adjustment_factor,"divide(1, [meas.act_capture])",Measure calculating act capture adjustment factor. Respects the current filter context.,0.0,4bf4da47-0c5e-455f-b690-534812ebe055
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_capture_level_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_capture_level_summary,meas.act_capt_applicable_reps,"/*
			//month by number of month periods
			var periods_tbl = SUMMARIZE(calculatetable(act_capture_level_summary), act_capture_level_summary[_sys_user_id],act_capture_level_summary[_sys_filter_start_date]) // get the total number of periods in the 
			
			// selection group by rep and month
			var reps_tbl = SUMMARIZE(calculatetable(act_capture_level_summary), act_capture_level_summary[_sys_user_id]) // get just the unique names
			var reps =  divide(COUNTROWS(periods_tbl) , COUNTROWS( reps_tbl)) // get the avg number of ""active"" reps per period */
			var reps = CALCULATE(DISTINCTCOUNT(act_capture_level_summary[_sys_user_id]))
			var res = reps
			return res",Measure calculating act capt applicable reps. Respects the current filter context.,_acl_scores,33577b57-cda0-4543-974a-8756bee44e7b
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_capture_level_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_capture_level_summary,meas.act_capt_activity_count,"var act_count = CALCULATE(SUM(users_history[ci_time_alloc_tot_dur]), cal_end_dates[date] > date(1900,1,1) && cal_end_dates[date] > date(210,1,1) )-- override the standard date filter 
			var res = act_count
			return res
			
			// act_tot_count --> ci_time_alloc_tot_dur",Count of act capt activity count. Respects the current filter context.,_acl_scores,ee680742-49b5-4460-aa06-85524f4fbb59
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_capture_level_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_capture_level_summary,meas.act_capt_lvl_summary_time_alloc_eng,,Measure calculating act capt lvl summary time alloc eng. Respects the current filter context.,"#"" hrs/week""",644d9112-46ce-4307-9e3a-b10b5306237a
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_capture_level_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_capture_level_summary,meas.act_capt_lvl_summary_time_alloc_non_eng,,Measure calculating act capt lvl summary time alloc non eng. Respects the current filter context.,"#"" hrs/week""",422619fa-5693-4106-98e7-acc2ef92b223
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_capture_level_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_capture_level_summary,meas.no_activities_count,,Count of no activities count. Respects the current filter context.,0,b8ec6df0-1df6-41d1-b949-fcb80cb1af48
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_time_alloc_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_time_alloc_summary,meas.act_time_alloc_reps,CALCULATE(DISTINCTCOUNT(act_time_alloc_summary[_sys_user_id])),Measure calculating act time alloc reps. Respects the current filter context.,0,7b3aa411-fbb6-4366-893f-6222d570fa8f
