file,model,table,description,lineageTag
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\DateTableTemplate_dfd3ad22-e075-4dd2-8a37-f786e1929381.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,DateTableTemplate_dfd3ad22-e075-4dd2-8a37-f786e1929381,System: Auto-generated date table used by Power BI for local date hierarchies.,f9b55968-c2d2-464f-950b-fefc47d8bc73
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\Last Refresh Date.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,Last Refresh Date,One row per 'last record. Contains attributes used for analysis and reporting.,6cef7a97-bc04-4557-ba57-c8550f75fec3
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_0016557c-5f9a-4fef-b866-4f5b3985f135.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_0016557c-5f9a-4fef-b866-4f5b3985f135,System: Auto-generated date table used by Power BI for local date hierarchies.,8a766c4b-ae8d-49a9-b3d7-eb6c577774eb
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_0143b31e-428a-4d50-9155-6e4a458a6049.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_0143b31e-428a-4d50-9155-6e4a458a6049,System: Auto-generated date table used by Power BI for local date hierarchies.,113ac3e0-236b-44d2-ae1d-350753e9c0e3
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_03a3d8ee-2df7-402f-8783-1e93959d32f8.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_03a3d8ee-2df7-402f-8783-1e93959d32f8,System: Auto-generated date table used by Power BI for local date hierarchies.,a9affd5b-5bb9-4ec9-9b74-3249f8af508e
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_076c1391-29af-4d25-adff-1f4ee49cece8.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_076c1391-29af-4d25-adff-1f4ee49cece8,System: Auto-generated date table used by Power BI for local date hierarchies.,361696fc-62f1-4803-8250-ce37bbec774e
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_0c75db12-e0fe-4ca2-b1c8-f885e19c28e6.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_0c75db12-e0fe-4ca2-b1c8-f885e19c28e6,System: Auto-generated date table used by Power BI for local date hierarchies.,fcf500a2-4c0b-46f1-bbd6-fb3913dd0f12
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_10b22189-e4e1-42ec-8b3b-f6fb67455a41.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_10b22189-e4e1-42ec-8b3b-f6fb67455a41,System: Auto-generated date table used by Power BI for local date hierarchies.,eb3567ac-a235-496c-befb-79fe16809ca8
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_11fc6c4a-c432-4ad2-a5ac-2daa6b506406.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_11fc6c4a-c432-4ad2-a5ac-2daa6b506406,System: Auto-generated date table used by Power BI for local date hierarchies.,324fa273-12e0-438a-8870-978f39e489b7
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_12527c07-e036-4ec0-b10b-6600c21c3b86.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_12527c07-e036-4ec0-b10b-6600c21c3b86,System: Auto-generated date table used by Power BI for local date hierarchies.,c00e72a7-2f53-415c-b139-2f7c7cf99773
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_1476c323-7eae-4fbb-afdd-eed6bc15c64d.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_1476c323-7eae-4fbb-afdd-eed6bc15c64d,System: Auto-generated date table used by Power BI for local date hierarchies.,99da3fbc-80ae-4317-9f5a-75fa12d9c630
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_18599742-f27c-4be1-8750-fa19414f78bd.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_18599742-f27c-4be1-8750-fa19414f78bd,System: Auto-generated date table used by Power BI for local date hierarchies.,7b6a38c4-81c5-4ce4-b13b-aefd8a026e6f
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_1a22784c-bc8e-4f63-8257-2847f4727cbb.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_1a22784c-bc8e-4f63-8257-2847f4727cbb,System: Auto-generated date table used by Power BI for local date hierarchies.,b81e9408-20f3-49d5-8e54-2f4a0fa9debe
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_1d8dacf6-05b8-45d5-a6c4-b4d1a2843a75.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_1d8dacf6-05b8-45d5-a6c4-b4d1a2843a75,System: Auto-generated date table used by Power BI for local date hierarchies.,28e896b4-d03e-4f9e-9e9f-587f39822605
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_1f6bcae4-59cc-43a4-a115-5cd0b4bac39f.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_1f6bcae4-59cc-43a4-a115-5cd0b4bac39f,System: Auto-generated date table used by Power BI for local date hierarchies.,2485ba40-9b06-4823-a2b3-42e8526533fd
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_1f869c18-ea90-40a4-b61a-3cc194e9381c.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_1f869c18-ea90-40a4-b61a-3cc194e9381c,System: Auto-generated date table used by Power BI for local date hierarchies.,a91c756a-b0ef-4094-9c20-3a941cfcb6b6
